SourceFile,DateCreated,DateTimeCreated,DateTimeOriginal,GPSAltitude,GPSAltitudeRef,GPSCoordinates,GPSCoordinates-und-US,GPSDateStamp,GPSDateTime,GPSDestBearing,GPSDestBearingRef,GPSHPositioningError,GPSImgDirection,GPSImgDirectionRef,GPSLatitude,GPSLatitudeRef,GPSLongitude,GPSLongitudeRef,GPSPosition,GPSProcessingMethod,GPSSpeed,GPSSpeedRef,GPSTimeStamp
/Users/eddiedickey/Flickr/2014/mill-valley_14637782334_o.jpg,,,2014:07:06 14:30:32,,,,,2014:07:06,2014:07:06 21:30:32Z,,,,270,Magnetic North,,,,,,,,,21:30:32
/Users/eddiedickey/Flickr/2014/path-up-ring-mtg_15257366818_o.jpg,,,2014:10:04 18:04:51,0 m Above Sea Level,Above Sea Level,,,2014:10:05,2014:10:05 01:04:43Z,,,,350,Magnetic North,"37 deg 55' 39.58"" N",North,"122 deg 30' 36.67"" W",West,"37 deg 55' 39.58"" N, 122 deg 30' 36.67"" W",NETWORK,,,01:04:43
/Users/eddiedickey/Flickr/2014/ice-cream-summer-solstice-2014_14685549061_o.jpg,2014:06:21 20:51:01,,2014:06:21 20:51:01,16 m Above Sea Level,Above Sea Level,,,2014:06:22,2014:06:22 03:51:02Z,,,,340,Magnetic North,"38 deg 0' 49.27"" N",North,"122 deg 33' 36.22"" W",West,"38 deg 0' 49.27"" N, 122 deg 33' 36.22"" W",,,,03:51:02
/Users/eddiedickey/Flickr/2014/football_15102404753_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/south-fork-gallinas-creek_14320053125_o.jpg,,,2014:05:24 17:11:43,0 m Above Sea Level,Above Sea Level,,,2014:05:25,2014:05:25 00:11:38Z,,,,150,Magnetic North,"38 deg 0' 31.76"" N",North,"122 deg 31' 27.07"" W",West,"38 deg 0' 31.76"" N, 122 deg 31' 27.07"" W",NETWORK,,,00:11:38
/Users/eddiedickey/Flickr/2014/football_15453416790_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/evening-home_14134301327_o.jpg,,,2014:03:15 19:43:53,27 m Above Sea Level,Above Sea Level,,,2014:03:16,2014:03:16 02:43:53Z,,,,247,Magnetic North,"37 deg 57' 49.95"" N",North,"122 deg 29' 45.65"" W",West,"37 deg 57' 49.95"" N, 122 deg 29' 45.65"" W",GPS,,,02:43:53
/Users/eddiedickey/Flickr/2014/merry-christmas-yall_15922108497.mp4,,,2014:12:06 08:21:42,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/docking-at-the-ferry-building_14502306037_o.jpg,,,2014:06:25 07:59:13,0 m Above Sea Level,Above Sea Level,,,2014:06:25,2014:06:25 14:59:09Z,,,,325,Magnetic North,"37 deg 47' 38.21"" N",North,"122 deg 23' 16.83"" W",West,"37 deg 47' 38.21"" N, 122 deg 23' 16.83"" W",NETWORK,,,14:59:09
/Users/eddiedickey/Flickr/2014/football_15325251469_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/football_15018820803_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/football_15419719397_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/bro-his-wife--josie_15373319132_o.jpg,,,2014:09:27 12:45:35,1981 m Above Sea Level,Above Sea Level,,,2014:09:27,2014:09:27 19:44:50Z,,,,158,Magnetic North,"38 deg 57' 27.79"" N",North,"120 deg 4' 52.21"" W",West,"38 deg 57' 27.79"" N, 120 deg 4' 52.21"" W",GPS,,,19:44:50
/Users/eddiedickey/Flickr/2014/holiday-baking_16023249925_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/cal-baseball-game_14023626120_o.jpg,,,2014:05:17 15:19:32,0 m Above Sea Level,Above Sea Level,,,2014:05:17,2014:05:17 22:19:17Z,,,,170,Magnetic North,"37 deg 52' 15.94"" N",North,"122 deg 15' 53.75"" W",West,"37 deg 52' 15.94"" N, 122 deg 15' 53.75"" W",NETWORK,,,22:19:17
/Users/eddiedickey/Flickr/2014/video_22133646328.mov,,,,51.639 m,Above Sea Level,"37 deg 52' 12.36"" N, 122 deg 15' 46.44"" W, 51.639 m Above Sea Level","37 deg 52' 12.36"" N, 122 deg 15' 46.44"" W, 51.639 m Above Sea Level",,,,,,,,"37 deg 52' 12.36"" N",,"122 deg 15' 46.44"" W",,"37 deg 52' 12.36"" N, 122 deg 15' 46.44"" W",,,,
/Users/eddiedickey/Flickr/2014/football_15606548762_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/football_14985570813_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/view-from-blackies-pasture_15152029129_o.jpg,2014:09:23 18:50:46,,2014:09:23 18:50:46,0 m Above Sea Level,Above Sea Level,,,2014:09:24,2014:09:24 01:50:37Z,,,,65,Magnetic North,"37 deg 53' 7.59"" N",North,"122 deg 30' 28.45"" W",West,"37 deg 53' 7.59"" N, 122 deg 30' 28.45"" W",,,,01:50:37
/Users/eddiedickey/Flickr/2014/girlfriend_15891276061_o.jpg,,,2014:11:27 11:52:10,0 m Above Sea Level,Above Sea Level,,,2014:11:27,2014:11:27 19:52:02Z,,,,198,Magnetic North,"37 deg 54' 26.26"" N",North,"122 deg 33' 4.71"" W",West,"37 deg 54' 26.26"" N, 122 deg 33' 4.71"" W",NETWORK,,,19:52:02
/Users/eddiedickey/Flickr/2014/football_15419087189_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/football_15536603907_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/a-good-dog_14502073870_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/tennessee-valley-beach_14453544327_o.jpg,,,2014:06:29 16:59:41,25 m Above Sea Level,Above Sea Level,,,2014:06:29,2014:06:29 23:59:43Z,,,,207,Magnetic North,"37 deg 50' 30.25"" N",North,"122 deg 33' 7.62"" W",West,"37 deg 50' 30.25"" N, 122 deg 33' 7.62"" W",GPS,,,23:59:43
/Users/eddiedickey/Flickr/2014/lake-lagunitas_14131142828_o.jpg,,,2014:05:26 16:11:29,213 m Above Sea Level,Above Sea Level,,,2014:05:26,2014:05:26 23:11:31Z,,,,268,Magnetic North,"37 deg 56' 50.58"" N",North,"122 deg 35' 51.58"" W",West,"37 deg 56' 50.58"" N, 122 deg 35' 51.58"" W",GPS,,,23:11:31
/Users/eddiedickey/Flickr/2014/football_15721789495_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/football_15419609548_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/football_15453014207_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/tennessee-valley-beach_14390613827_o.jpg,,,2014:06:29 17:01:15,31 m Above Sea Level,Above Sea Level,,,2014:06:30,2014:06:30 00:01:16Z,,,,195,Magnetic North,"37 deg 50' 30.31"" N",North,"122 deg 33' 7.82"" W",West,"37 deg 50' 30.31"" N, 122 deg 33' 7.82"" W",GPS,,,00:01:16
/Users/eddiedickey/Flickr/2014/tiburon_14932715710_o.jpg,,,2014:09:01 18:31:44,0 m Above Sea Level,Above Sea Level,,,2014:09:02,2014:09:02 01:31:36Z,,,,214,Magnetic North,"37 deg 52' 30.06"" N",North,"122 deg 27' 17.41"" W",West,"37 deg 52' 30.06"" N, 122 deg 27' 17.41"" W",NETWORK,,,01:31:36
/Users/eddiedickey/Flickr/2014/football_15420128040_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/rodin-the-thinker_15135100603_o.jpg,,,2014:11:09 15:17:50,0 m Above Sea Level,Above Sea Level,,,2014:11:09,2014:11:09 23:17:43Z,,,,62,Magnetic North,"37 deg 47' 4.91"" N",North,"122 deg 30' 0.07"" W",West,"37 deg 47' 4.91"" N, 122 deg 30' 0.07"" W",NETWORK,,,23:17:43
/Users/eddiedickey/Flickr/2014/football_15419610328_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/tiburon-ferry_14502109529_o.jpg,,,2014:06:08 14:43:19,39 m Above Sea Level,Above Sea Level,,,2014:06:08,2014:06:08 21:43:20Z,,,,233,Magnetic North,"37 deg 52' 22.61"" N",North,"122 deg 27' 20.53"" W",West,"37 deg 52' 22.61"" N, 122 deg 27' 20.53"" W",GPS,,,21:43:20
/Users/eddiedickey/Flickr/2014/directions_14134097839_o.jpg,2014:05:25 17:17:03,,2014:05:25 17:17:03,15 m Above Sea Level,Above Sea Level,,,2014:05:26,2014:05:26 00:17:04Z,,,,59,Magnetic North,"37 deg 50' 56.27"" N",North,"122 deg 32' 45.45"" W",West,"37 deg 50' 56.27"" N, 122 deg 32' 45.45"" W",,,,00:17:04
/Users/eddiedickey/Flickr/2014/christmas-into-the-new-year_15524956684_o.jpg,,,2014:12:28 17:54:17,,,,,2014:12:29,2014:12:29 01:54:17Z,,,,168,Magnetic North,,,,,,,,,01:54:17
/Users/eddiedickey/Flickr/2014/thanksgiving_15488350153.mp4,,,2014:11:27 02:02:49,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/philz-sausalito_14320123154_o.jpg,,,2014:05:11 14:53:39,0 m Above Sea Level,Above Sea Level,,,2014:05:11,2014:05:11 21:53:32Z,,,,317,Magnetic North,"37 deg 52' 24.28"" N",North,"122 deg 29' 28.25"" W",West,"37 deg 52' 24.28"" N, 122 deg 29' 28.25"" W",NETWORK,,,21:53:32
/Users/eddiedickey/Flickr/2014/football_15018253014_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/view-while-recovering_14636589784_o.jpg,,,2014:07:09 13:20:50,0 m Above Sea Level,Above Sea Level,,,2014:07:09,2014:07:09 20:20:46Z,,,,316,Magnetic North,"37 deg 57' 7.02"" N",North,"122 deg 32' 32.26"" W",West,"37 deg 57' 7.02"" N, 122 deg 32' 32.26"" W",NETWORK,,,20:20:46
/Users/eddiedickey/Flickr/2014/september-snow_15373631035_o.jpg,,,2014:09:27 12:38:07,0 m Above Sea Level,Above Sea Level,,,2014:09:27,2014:09:27 19:37:59Z,,,,322,Magnetic North,"38 deg 56' 48.56"" N",North,"119 deg 57' 34.07"" W",West,"38 deg 56' 48.56"" N, 119 deg 57' 34.07"" W",NETWORK,,,19:37:59
/Users/eddiedickey/Flickr/2014/meditation-point_15239164969_o.jpg,,,2014:09:30 15:46:25,19 m Above Sea Level,Above Sea Level,,,2014:09:30,2014:09:30 22:46:27Z,,,,327,Magnetic North,"37 deg 56' 36.06"" N",North,"122 deg 30' 42.38"" W",West,"37 deg 56' 36.06"" N, 122 deg 30' 42.38"" W",GPS,,,22:46:27
/Users/eddiedickey/Flickr/2014/diwali_15727733112_o.jpg,,,2014:11:06 10:34:36,0 m Above Sea Level,Above Sea Level,,,2014:11:06,2014:11:06 18:34:27Z,,,,204,Magnetic North,"37 deg 56' 38.27"" N",North,"122 deg 30' 44.58"" W",West,"37 deg 56' 38.27"" N, 122 deg 30' 44.58"" W",NETWORK,,,18:34:27
/Users/eddiedickey/Flickr/2014/a-break-between-storms_15666985340_o.jpg,,,2014:11:22 13:00:03,0 m Above Sea Level,Above Sea Level,,,2014:11:22,2014:11:22 20:59:56Z,,,,71,Magnetic North,"38 deg 7' 17.79"" N",North,"122 deg 16' 4.69"" W",West,"38 deg 7' 17.79"" N, 122 deg 16' 4.69"" W",NETWORK,,,20:59:56
/Users/eddiedickey/Flickr/2014/football_15615279656_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
/Users/eddiedickey/Flickr/2014/emerald-bay_15199569929_o.jpg,,,2014:09:27 13:20:33,1977 m Above Sea Level,Above Sea Level,,,2014:09:27,2014:09:27 19:47:12Z,,,,1,Magnetic North,"38 deg 57' 28.00"" N",North,"120 deg 4' 52.06"" W",West,"38 deg 57' 28.00"" N, 120 deg 4' 52.06"" W",GPS,,,19:47:12
/Users/eddiedickey/Flickr/2014/football_15453417000_o.jpg,,,,,,,,,,,,,,,,,,,,,,,
