Directory,File,FileSize
/Users/eddiedickey/Flickr/2014,mill-valley_14637782334_o.jpg,2196892
/Users/eddiedickey/Flickr/2014,path-up-ring-mtg_15257366818_o.jpg,2472354
/Users/eddiedickey/Flickr/2014,ice-cream-summer-solstice-2014_14685549061_o.jpg,1824026
/Users/eddiedickey/Flickr/2014,football_15102404753_o.jpg,776110
/Users/eddiedickey/Flickr/2014,south-fork-gallinas-creek_14320053125_o.jpg,1695454
/Users/eddiedickey/Flickr/2014,football_15453416790_o.jpg,765039
/Users/eddiedickey/Flickr/2014,evening-home_14134301327_o.jpg,1352827
/Users/eddiedickey/Flickr/2014,merry-christmas-yall_15922108497.mp4,148771278
/Users/eddiedickey/Flickr/2014,docking-at-the-ferry-building_14502306037_o.jpg,1499287
/Users/eddiedickey/Flickr/2014,football_15325251469_o.jpg,808563
/Users/eddiedickey/Flickr/2014,football_15018820803_o.jpg,809894
/Users/eddiedickey/Flickr/2014,football_15419719397_o.jpg,871363
/Users/eddiedickey/Flickr/2014,bro-his-wife--josie_15373319132_o.jpg,1445379
/Users/eddiedickey/Flickr/2014,holiday-baking_16023249925_o.jpg,130134
/Users/eddiedickey/Flickr/2014,cal-baseball-game_14023626120_o.jpg,1756420
/Users/eddiedickey/Flickr/2014,video_22133646328.mov,172675794
/Users/eddiedickey/Flickr/2014,football_15606548762_o.jpg,733521
/Users/eddiedickey/Flickr/2014,football_14985570813_o.jpg,769491
/Users/eddiedickey/Flickr/2014,view-from-blackies-pasture_15152029129_o.jpg,2277014
/Users/eddiedickey/Flickr/2014,girlfriend_15891276061_o.jpg,622241
/Users/eddiedickey/Flickr/2014,football_15419087189_o.jpg,733733
/Users/eddiedickey/Flickr/2014,football_15536603907_o.jpg,844528
/Users/eddiedickey/Flickr/2014,a-good-dog_14502073870_o.jpg,140526
/Users/eddiedickey/Flickr/2014,tennessee-valley-beach_14453544327_o.jpg,1350075
/Users/eddiedickey/Flickr/2014,lake-lagunitas_14131142828_o.jpg,1866484
/Users/eddiedickey/Flickr/2014,football_15721789495_o.jpg,690419
/Users/eddiedickey/Flickr/2014,football_15419609548_o.jpg,761682
/Users/eddiedickey/Flickr/2014,football_15453014207_o.jpg,790310
/Users/eddiedickey/Flickr/2014,tennessee-valley-beach_14390613827_o.jpg,459695
/Users/eddiedickey/Flickr/2014,tiburon_14932715710_o.jpg,1683329
/Users/eddiedickey/Flickr/2014,football_15420128040_o.jpg,835012
/Users/eddiedickey/Flickr/2014,rodin-the-thinker_15135100603_o.jpg,1282866
/Users/eddiedickey/Flickr/2014,football_15419610328_o.jpg,715290
/Users/eddiedickey/Flickr/2014,tiburon-ferry_14502109529_o.jpg,1817669
/Users/eddiedickey/Flickr/2014,directions_14134097839_o.jpg,170768
/Users/eddiedickey/Flickr/2014,christmas-into-the-new-year_15524956684_o.jpg,1779018
/Users/eddiedickey/Flickr/2014,thanksgiving_15488350153.mp4,122365462
/Users/eddiedickey/Flickr/2014,philz-sausalito_14320123154_o.jpg,2195051
/Users/eddiedickey/Flickr/2014,football_15018253014_o.jpg,889931
/Users/eddiedickey/Flickr/2014,view-while-recovering_14636589784_o.jpg,1603785
/Users/eddiedickey/Flickr/2014,september-snow_15373631035_o.jpg,774596
/Users/eddiedickey/Flickr/2014,meditation-point_15239164969_o.jpg,1467229
