SourceFile,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_1016.MOV,2011:05:12 15:45:08,37.8066,-122.4187
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0136.MOV,2010:10:06 19:06:58,37.8029,-122.4019
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0123.MOV,2010:10:03 19:24:27,37.7948,-122.3929
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0876.MOV,2011:03:24 20:29:26,33.4454,-111.9486
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_1003.MOV,2011:05:08 00:55:56,38.0368,-122.5439
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0121.MOV,2010:10:03 17:24:14,37.7998,-122.457
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_1004.MOV,2011:05:11 15:53:30,37.8387,-122.2909
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0871.MOV,2011:03:24 02:58:36,33.432,-111.9414
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0784.MOV,2011:03:07 04:58:54,37.8921,-122.2997
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0975.MOV,2011:04:20 01:11:49,37.9451,-122.5097
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0961.MOV,2011:04:17 00:47:57,38.0369,-122.5438
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0744.MOV,2011:02:26 20:24:35,37.8814,-122.2905
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0156.MOV,2010:10:10 18:09:46,37.8671,-122.3011
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0157.MOV,2010:10:10 19:42:15,38.5826,-121.5064
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0779.MOV,2011:03:06 06:03:59,37.8792,-122.2929
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0973.MOV,2011:04:20 00:40:11,37.8786,-122.4209
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0783.MOV,2011:03:07 04:46:12,37.8921,-122.2997
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0780.MOV,2011:03:06 06:52:27,37.8792,-122.2929
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0994.MOV,2011:04:30 00:47:50,37.796,-122.3927
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0953.MOV,2011:04:16 07:18:58,37.8738,-122.2823
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0827.MOV,2011:03:21 15:53:13,37.796,-122.3927
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0198.MOV,2010:10:27 02:01:59,37.7947,-122.3934
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0775.MOV,2011:03:06 02:39:50,37.8791,-122.293
/Users/eddiedickey/Feb2020/Movie-files/Movie2/IMG_0777.MOV,2011:03:06 05:23:49,37.8792,-122.2929
