Directory,Filename,CreateDate,GPSLatitude,GPSLongitude
/Users/eddiedickey/Flickr/2014,mill-valley_14637782334_o.jpg,2014:07:06 14:30:32,,
/Users/eddiedickey/Flickr/2014,path-up-ring-mtg_15257366818_o.jpg,2014:10:04 18:04:51,37.9276625,-122.510186388889
/Users/eddiedickey/Flickr/2014,ice-cream-summer-solstice-2014_14685549061_o.jpg,2014:06:21 20:51:01,38.0136861111111,-122.560061111111
/Users/eddiedickey/Flickr/2014,football_15102404753_o.jpg,,,
/Users/eddiedickey/Flickr/2014,south-fork-gallinas-creek_14320053125_o.jpg,2014:05:24 17:11:43,38.0088216666667,-122.524187222222
/Users/eddiedickey/Flickr/2014,football_15453416790_o.jpg,,,
/Users/eddiedickey/Flickr/2014,evening-home_14134301327_o.jpg,2014:03:15 19:43:53,37.9638747222222,-122.496012777778
/Users/eddiedickey/Flickr/2014,merry-christmas-yall_15922108497.mp4,2014:12:06 08:19:20,,
/Users/eddiedickey/Flickr/2014,docking-at-the-ferry-building_14502306037_o.jpg,2014:06:25 07:59:13,37.7939466666667,-122.388008611111
/Users/eddiedickey/Flickr/2014,football_15325251469_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15018820803_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15419719397_o.jpg,,,
/Users/eddiedickey/Flickr/2014,bro-his-wife--josie_15373319132_o.jpg,2014:09:27 12:45:35,38.95772,-120.081169444444
/Users/eddiedickey/Flickr/2014,holiday-baking_16023249925_o.jpg,,,
/Users/eddiedickey/Flickr/2014,cal-baseball-game_14023626120_o.jpg,2014:05:17 15:19:32,37.8710947222222,-122.264931388889
/Users/eddiedickey/Flickr/2014,video_22133646328.mov,2014:05:17 23:44:03,37.8701,-122.2629
/Users/eddiedickey/Flickr/2014,football_15606548762_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_14985570813_o.jpg,,,
/Users/eddiedickey/Flickr/2014,view-from-blackies-pasture_15152029129_o.jpg,2014:09:23 18:50:46,37.8854416666667,-122.507902777778
/Users/eddiedickey/Flickr/2014,girlfriend_15891276061_o.jpg,2014:11:27 11:52:10,37.9072933333333,-122.551308611111
/Users/eddiedickey/Flickr/2014,football_15419087189_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15536603907_o.jpg,,,
/Users/eddiedickey/Flickr/2014,a-good-dog_14502073870_o.jpg,,,
/Users/eddiedickey/Flickr/2014,tennessee-valley-beach_14453544327_o.jpg,2014:06:29 16:59:41,37.8417358333333,-122.552117777778
/Users/eddiedickey/Flickr/2014,lake-lagunitas_14131142828_o.jpg,2014:05:26 16:11:29,37.9473833333333,-122.597661944444
/Users/eddiedickey/Flickr/2014,football_15721789495_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15419609548_o.jpg,,,
/Users/eddiedickey/Flickr/2014,football_15453014207_o.jpg,,,
/Users/eddiedickey/Flickr/2014,tennessee-valley-beach_14390613827_o.jpg,2014:06:29 17:01:15,37.8417516666667,-122.552173333333
