SourceFile,CreateDate
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Valentines Day Stow Lake/Transcoded Media/High Quality Media/HDV_0289.mov,2015:03:14 06:00:00
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Valentines Day Stow Lake/Original Media/HDV_0289.mp4,2015:02:14 13:52:48
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media/HDV_0253.mov,2015:01:21 04:38:34
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media/HDV_0252.mov,2015:01:21 04:36:15
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media/HDV_0250.mov,2015:01:21 04:35:24
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media/HDV_0251.mov,2015:01:21 04:38:17
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media/HDV_0254.mov,2015:01:21 04:37:22
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media/HDV_0250.mp4,2015:01:17 11:09:45
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media/HDV_0251.mp4,2015:01:17 11:11:18
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media/HDV_0253.mp4,2015:01:18 23:09:49
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media/HDV_0252.mp4,2015:01:18 01:16:21
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media/HDV_0254.mp4,2015:01:19 01:54:30
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Eric's Goodbye Party/Transcoded Media/High Quality Media/HDV_0293.mov,2015:03:14 06:01:10
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Eric's Goodbye Party/Original Media/HDV_0293.mp4,2015:02:21 15:31:08
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media/HDV_0301.mov,2015:07:01 17:41:30
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media/HDV_0303.mov,2015:07:01 17:49:44
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media/HDV_0302.mov,2015:07:01 17:48:55
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media/HDV_0309.mov,2015:07:01 17:49:23
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media/HDV_0303.mp4,2015:06:13 15:38:50
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media/HDV_0302.mp4,2015:06:13 09:08:18
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media/HDV_0301.mp4,2015:06:13 08:29:24
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media/HDV_0309.mp4,2015:06:13 17:17:43
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Transcoded Media/High Quality Media/HDV_0272.mov,2015:02:06 06:52:51
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Transcoded Media/High Quality Media/HDV_0273.mov,2015:02:06 06:50:47
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Transcoded Media/High Quality Media/HDV_0271.mov,2015:02:06 06:51:36
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Original Media/HDV_0271.mp4,2015:01:31 04:28:29
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Original Media/HDV_0272.mp4,2015:01:31 04:30:25
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Original Media/HDV_0273.mp4,2015:01:31 04:33:57
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Christmas Tree/Transcoded Media/High Quality Media/HDV_0249.mov,2014:12:16 00:36:55
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Christmas Tree/Original Media/HDV_0249.mp4,2014:12:06 08:19:20
