Directory,File,FileSize
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_1016.MOV,2743129
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0136.MOV,7749438
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0123.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0876.MOV,20481530
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_1003.MOV,5080710
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0121.MOV,17458700
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_1004.MOV,1625449
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0871.MOV,15698715
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0784.MOV,2583989
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0975.MOV,10126214
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0961.MOV,31876889
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0744.MOV,25215083
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0156.MOV,12611902
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0157.MOV,11735961
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0779.MOV,51837020
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0973.MOV,6244683
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0783.MOV,23514406
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0780.MOV,36063656
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0994.MOV,737351
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0953.MOV,1594400
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0827.MOV,1197183
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0198.MOV,13391234
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0775.MOV,571198
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0777.MOV,687357
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0993.MOV,135115802
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0819.MOV,79479195
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0776.MOV,28003118
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0922.MOV,469514821
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0062.MOV,34713505
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0699.MOV,33576522
/Users/eddiedickey/Feb2020/Movie-files/Movie2,IMG_0064.MOV,10574339
/Users/eddiedickey/Feb2020/Movie-files/Movies3,Movie_22425.mp4,19403834
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0311.MP4,43421806
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0310.MP4,74187214
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0312.MP4,41846639
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0313.MP4,170515998
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0317.MP4,30247602
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0316.MP4,37823394
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0314.MP4,100606908
/Users/eddiedickey/Feb2020/Movie-files/TommyHSF1/100VIDEO,HDV_0315.MP4,105732007
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0056.MOV,5973979
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_1016.MOV,2743129
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0056.MOV,5973979
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0308.MOV,18449670
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0334.MOV,3627406
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0136.MOV,7749438
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0123.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0121.MOV,17458700
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0120.MOV,8036445
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0119.MOV,14407387
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0333.MOV,9177343
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0047.MOV,13239212
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0123 2.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMGP1165 2.MOV,61702578
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0552.MOV,6206877
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0156.MOV,12611902
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0157.MOV,11735961
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0553.MOV,9368483
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0023.MOV,574622
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMGP1164.MOV,226348790
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0557.MOV,13433063
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMGP1164 2.MOV,226348790
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMGP1165.MOV,61702578
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0024.MOV,615776
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0554.MOV,68309609
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMGP1166 2.MOV,7647950
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0435.MOV,14844623
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMGP1166.MOV,7647950
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0198.MOV,13391234
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0367.MOV,9418012
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0366.MOV,14680967
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0063.MOV,13743503
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0062.MOV,34713505
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0307.MOV,16396178
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0138.MOV,41379452
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0064.MOV,10574339
/Users/eddiedickey/Feb2020/Movie-files/Movies/Movies 2,IMG_0311.MOV,17532339
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0136.MOV,7749438
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0123.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movies,The Birds 2.mov,12551082
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0876.MOV,20481530
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_1003.MOV,5080710
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_1015.MOV,28902894
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0121.MOV,17458700
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0120.MOV,8036445
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/Exports,Stompers.m4v,380970579
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/For Alex.rcproject/QuickLook,Thumbnail.jpg,75293
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/Stompers.rcproject/QuickLook,Thumbnail.jpg,77078
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/Stompers.rcproject/Movies,mobile.m4v,92359969
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Projects.localized/Stompers.rcproject/Movies,large.m4v,380970579
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/iMovie Cache,Cache.mov,630224
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Alex/iMovie Thumbnails/iMovie Cache,Cache.mov,69706
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1,clip-2009-10-01 18;47;25.mov,329921137
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/iMovie Cache,Cache.mov,24959
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 1/iMovie Thumbnails/iMovie Cache,Cache.mov,23892
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;27;23.mov,608764353
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;25;20.mov,213432921
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/iMovie Cache,Cache.mov,179231
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;29;22.mov,180996569
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;24;39.mov,119362009
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;26;22.mov,197839385
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009/iMovie Thumbnails/iMovie Cache,Cache.mov,169294
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;18;52.mov,605824433
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;21;10.mov,911376377
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Stompers Soccer 2009,clip-2009-10-04 12;30;23.mov,1717127045
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 21;03;14.mov,8563009
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/iMovie Cache,Cache.mov,108613
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 21;07;39.mov,247242397
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 20;25;13.mov,5773569
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 20;54;01.mov,162023477
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 20;25;33.mov,445618209
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan/iMovie Thumbnails/iMovie Cache,Cache.mov,103248
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 20;58;53.mov,138043589
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 20;36;12.mov,156988861
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 21;00;48.mov,238865737
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/Peter Pan,clip-2009-12-17 20;24;01.mov,5093505
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;29;05.mov,531534617
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;37;12.mov,46280685
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/iMovie Cache,Cache.mov,202519
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;22;52.mov,1623182545
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;40;12.mov,122151385
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 10;36;14.mov,102014225
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;34;33.mov,597774497
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 12;58;35.mov,411004641
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09/iMovie Thumbnails/iMovie Cache,Cache.mov,195732
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;31;34.mov,268708789
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-20-09,clip-2009-10-18 15;39;19.mov,276672837
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2,clip-2009-10-02 14;29;31.mov,14916281
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/iMovie Cache,Cache.mov,127267
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2,clip-2009-10-02 19;48;52.mov,967421249
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2/iMovie Thumbnails/iMovie Cache,Cache.mov,124976
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 2,clip-2009-10-02 20;10;23.mov,770173097
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/iMovie Cache,Cache.mov,18219
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4,clip-2009-10-13 13;53;00.mov,154943461
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies/iMovie Events.localized/New Event 10-14-09 - Day 4/iMovie Thumbnails/iMovie Cache,Cache.mov,17120
/Users/eddiedickey/Feb2020/Movie-files/Movies/Porsche Movies,For Alex.mov,2351039111
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0123-2.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_1004.MOV,1625449
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0871.MOV,15698715
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0119.MOV,14407387
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0784.MOV,2583989
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0975.MOV,10126214
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0961.MOV,31876889
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0744.MOV,25215083
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0156.MOV,12611902
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0157.MOV,11735961
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0779.MOV,51837020
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0056.MOV,5973979
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_1016.MOV,2743129
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0136.MOV,7749438
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0123.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0876.MOV,20481530
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_1003.MOV,5080710
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_1015.MOV,28902894
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0121.MOV,17458700
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0120.MOV,8036445
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0123-2.MOV,6296282
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_1004.MOV,1625449
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0871.MOV,15698715
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0119.MOV,14407387
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0784.MOV,2583989
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0975.MOV,10126214
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0961.MOV,31876889
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0744.MOV,25215083
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0156.MOV,12611902
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0157.MOV,11735961
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0779.MOV,51837020
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0973.MOV,6244683
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0783.MOV,23514406
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0959.MOV,28009624
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0780.MOV,36063656
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0820.MOV,1610434
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_1042.MOV,75956585
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0994.MOV,737351
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0953.MOV,1594400
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0827.MOV,1197183
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0629.MOV,20741738
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0198.MOV,13391234
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0775.MOV,571198
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0952.MOV,73829780
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0777.MOV,687357
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0993.MOV,135115802
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0819.MOV,79479195
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0776.MOV,28003118
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0945.MOV,32033577
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0922.MOV,469514821
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0063.MOV,13743503
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0062.MOV,34713505
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0699.MOV,33576522
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0882.MOV,20986802
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0138.MOV,41379452
/Users/eddiedickey/Feb2020/Movie-files/Movies/more movies,IMG_0064.MOV,10574339
/Users/eddiedickey/Feb2020/Movie-files/Movies,The Birds.mov,12551082
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0973.MOV,6244683
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0783.MOV,23514406
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0959.MOV,28009624
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0780.MOV,36063656
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0820.MOV,1610434
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_1042.MOV,75956585
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0994.MOV,737351
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0953.MOV,1594400
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0827.MOV,1197183
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0629.MOV,20741738
/Users/eddiedickey/Feb2020/Movie-files/Movies,IMG_0198.MOV,13391234
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies190.MOV,150037310
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies011.MPG,171545
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies005.MPG,163205
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies171.AVI,5374008
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies159.AVI,5258808
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies231.MOV,52694202
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies225.MOV,38102478
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies219.MOV,589642
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies039.AVI,13510584
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies213.AVI,8331800
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies207.AVI,5440920
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies206.AVI,11571064
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies212.AVI,1216024
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies218.MOV,8880034
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies038.AVI,12045880
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies224.MOV,5034354
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies230.MOV,46792134
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies158.AVI,4256280
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies004.MPG,392732
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies170.AVI,2958648
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies187.MOV,68266002
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies144.MOV,228564582
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies178.MOV,171309486
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies199.AVI,3286648
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies172.AVI,180728
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies006.MPG,228886
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies226.MOV,37940646
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies232.MOV,18247686
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies012.AVI,26789464
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies204.AVI,164312
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies210.AVI,27593432
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies238.AVI,43895768
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies239.AVI,2054040
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies211.AVI,164312
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies205.AVI,361496
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies013.AVI,6195256
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies227.MOV,24994730
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies173.AVI,19343736
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies007.MPG,753268
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies198.AVI,1840504
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies179.MOV,24633054
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies145.MOV,53056746
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies186.MOV,63640114
/Users/eddiedickey/Feb2020/Movie-files/Movies/iphoto movies,moremovies141.MOV,11195558
