Directory,File,FileSize
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Valentines Day Stow Lake/Transcoded Media/High Quality Media,HDV_0289.mov,875702358
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Valentines Day Stow Lake/Original Media,HDV_0289.mp4,103730893
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media,HDV_0253.mov,1837814970
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media,HDV_0252.mov,580682566
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media,HDV_0250.mov,607207178
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media,HDV_0251.mov,372294546
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Transcoded Media/High Quality Media,HDV_0254.mov,849344446
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media,HDV_0250.mp4,74622187
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media,HDV_0251.mp4,44766779
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media,HDV_0253.mp4,213502126
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media,HDV_0252.mp4,68040861
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Carmel/Original Media,HDV_0254.mp4,99757693
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Eric's Goodbye Party/Transcoded Media/High Quality Media,HDV_0293.mov,356484482
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Eric's Goodbye Party/Original Media,HDV_0293.mp4,41524308
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media,HDV_0301.mov,679595250
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media,HDV_0303.mov,465696806
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media,HDV_0302.mov,582074302
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Transcoded Media/High Quality Media,HDV_0309.mov,489065558
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media,HDV_0303.mp4,55828328
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media,HDV_0302.mp4,69733739
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media,HDV_0301.mp4,81816720
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Houston/Original Media,HDV_0309.mp4,59548174
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Transcoded Media/High Quality Media,HDV_0272.mov,620326546
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Transcoded Media/High Quality Media,HDV_0273.mov,866018510
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Transcoded Media/High Quality Media,HDV_0271.mov,991815918
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Original Media,HDV_0271.mp4,116475063
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Original Media,HDV_0272.mp4,73184172
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Sausalito Kayak/Original Media,HDV_0273.mp4,101224398
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Christmas Tree/Transcoded Media/High Quality Media,HDV_0249.mov,1243616802
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Christmas Tree/Original Media,HDV_0249.mp4,148771278
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Thanksgiving/Transcoded Media/High Quality Media,HDV_0248.mov,769726282
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Thanksgiving/Transcoded Media/High Quality Media,HDV_0247.mov,1040886862
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Thanksgiving/Original Media,HDV_0248.mp4,93155310
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Thanksgiving/Original Media,HDV_0247.mp4,122365462
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Squaw/Transcoded Media/High Quality Media,HDV_0299.mov,521438066
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Squaw/Transcoded Media/High Quality Media,HDV_0300.mov,200214606
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Squaw/Original Media,HDV_0299.mp4,60568290
/Users/eddiedickey/Feb2020/Movies/Carrie.fcpbundle/Squaw/Original Media,HDV_0300.mp4,23482771
/Users/eddiedickey/Feb2020/Movies/Sandbox.fcpbundle/10-15-14/Transcoded Media/High Quality Media,HDV_0147.mov,400481042
/Users/eddiedickey/Feb2020/Movies/Sandbox.fcpbundle/10-15-14/Original Media,HDV_0147.mp4,48235906
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Bay Trail at House/Transcoded Media/High Quality Media,2014-05-24 07_40_12 (id).mov,3141691699
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Bay Trail at House/Original Media,2014-05-24 07_40_12 (id).mov,290045046
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley/Transcoded Media/High Quality Media,2014-05-25 17_20_38 (id).mov,1575837943
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley/Original Media,2014-05-25 17_20_38 (id).mov,150071052
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley Beach/Transcoded Media/High Quality Media,2014-05-25 17_35_36 (id).mov,1529031223
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley Beach/Shared Items/f6FogobYQ76RoVxSnS88ZA,2014-05-25 17:35:36 (1920 x 1080).m4v,110695603
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Tennessee Valley Beach/Original Media,2014-05-25 17_35_36 (id).mov,146131730
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 14_08_05 (id).mov,1442054334
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 14_06_59 (id).mov,57028898
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 14_31_59 (id).mov,3109524
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 16_13_51 (id).mov,525257268
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 14_23_00 (id).mov,62502552
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 14_23_49 (id).mov,19573546
/Users/eddiedickey/Feb2020/Movies/Marin.fcpbundle/Lake Lagunitas/Original Media,2014-05-26 14_05_57 (id).mov,89997882
